algorithm,case,dsc
A1,img_145,0.9901
A1,img_146,0.6109
A1,img_147,0.6083
A1,img_148,0.9834
A1,img_149,0.9966
A1,img_150,0.6384
A1,img_151,0.6121
A1,img_152,0.5917
A1,img_153,0.5967
A1,img_154,0.6149
A1,img_155,0.9933
A1,img_156,0.603
A1,img_157,0.642
A1,img_158,0.6098
A1,img_159,1.0
A1,img_160,1.0
A1,img_161,0.596
A1,img_162,0.6093
A1,img_163,1.0
A1,img_164,0.6366
A1,img_165,0.5974
A1,img_166,0.9976
A1,img_167,0.6394
A1,img_168,0.6317
A1,img_169,0.6414
A1,img_170,0.989
A1,img_171,0.6131
A1,img_172,0.642
A1,img_173,0.6188
A1,img_174,1.0
A1,img_175,1.0
A1,img_176,1.0
A1,img_177,1.0
A1,img_178,0.6735
A1,img_179,0.5779
A1,img_180,0.6152
A1,img_181,0.6324
A1,img_182,0.6373
A1,img_183,0.6435
A1,img_184,0.5836
A1,img_185,0.6292
A1,img_186,0.6398
A1,img_187,0.9978
A1,img_188,0.632
A1,img_189,0.993
A1,img_190,0.6113
A1,img_191,1.0
A1,img_192,0.9971
A1,img_193,1.0
A1,img_194,0.9863
A1,img_195,0.6256
A1,img_196,0.6241
A1,img_197,0.9807
A1,img_198,0.9877
A1,img_199,0.9969
A1,img_200,0.6291
A2,img_001,0.7872
A2,img_002,0.3226
A2,img_003,0.8419
A2,img_004,0.8782
A2,img_005,0.8528
A2,img_006,0.7952
A2,img_007,0.805
A2,img_008,0.8301
A2,img_009,0.2515
A2,img_010,0.8228
A2,img_011,0.8526
A2,img_012,0.2217
A2,img_013,0.854
A2,img_014,0.8729
A2,img_015,0.8506
A2,img_016,0.1803
A2,img_017,0.8934
A2,img_018,0.8237
A2,img_019,0.8558
A2,img_020,0.2957
A2,img_021,0.3668
A2,img_022,0.305
A2,img_023,0.8721
A2,img_024,0.8559
A2,img_025,0.8518
A2,img_026,0.7932
A2,img_027,0.808
A2,img_028,0.8436
A2,img_029,0.8378
A2,img_030,0.8242
A2,img_031,0.3395
A2,img_032,0.8819
A2,img_033,0.7992
A2,img_034,0.3449
A2,img_035,0.7949
A2,img_036,0.8379
A2,img_037,0.864
A2,img_038,0.831
A2,img_039,0.8403
A2,img_040,0.8317
A2,img_041,0.7877
A2,img_042,0.8508
A2,img_043,0.3728
A2,img_044,0.8533
A2,img_045,0.7709
A2,img_046,0.8548
A2,img_047,0.8185
A2,img_048,0.2851
A2,img_049,0.8546
A2,img_050,0.8417
A2,img_051,0.8364
A2,img_052,0.8507
A2,img_053,0.7867
A2,img_054,0.8302
A2,img_055,0.8255
A2,img_056,0.3129
A2,img_057,0.8104
A2,img_058,0.8546
A2,img_059,0.866
A2,img_060,0.2731
A2,img_061,0.8657
A2,img_062,0.8165
A2,img_063,0.8625
A2,img_064,0.8171
A2,img_065,0.8405
A2,img_066,0.3233
A2,img_067,0.8464
A2,img_068,0.8485
A2,img_069,0.8421
A2,img_070,0.8616
A2,img_071,0.8791
A2,img_072,0.8477
A2,img_073,0.8788
A2,img_074,0.8664
A2,img_075,0.8532
A2,img_076,0.8851
A2,img_077,0.8183
A2,img_078,0.8314
A2,img_079,0.8366
A2,img_080,0.3782
A2,img_081,0.8274
A2,img_082,0.2904
A2,img_083,0.8074
A2,img_084,0.8053
A2,img_085,0.8399
A2,img_086,0.827
A2,img_087,0.8241
A2,img_088,0.8655
A2,img_089,0.8307
A2,img_090,0.8417
A2,img_091,0.8367
A2,img_092,0.8595
A2,img_093,0.8557
A2,img_094,0.882
A2,img_095,0.8581
A2,img_096,0.8682
A2,img_097,0.8444
A2,img_098,0.8377
A2,img_099,0.3172
A2,img_100,0.7952
A2,img_101,0.856
A2,img_102,0.2776
A2,img_103,0.2656
A2,img_104,0.8782
A2,img_105,0.8286
A2,img_106,0.8722
A2,img_107,0.8264
A2,img_108,0.8468
A2,img_109,0.8499
A2,img_110,0.8777
A2,img_111,0.8651
A2,img_112,0.8662
A2,img_113,0.8653
A2,img_114,0.8473
A2,img_115,0.8602
A2,img_116,0.849
A2,img_117,0.8234
A2,img_118,0.8542
A2,img_119,0.2779
A2,img_120,0.8605
A2,img_121,0.8716
A2,img_122,0.8348
A2,img_123,0.8598
A2,img_124,0.8453
A2,img_125,0.9032
A2,img_126,0.8717
A2,img_127,0.8684
A2,img_128,0.8365
A2,img_129,0.878
A2,img_130,0.8332
A2,img_131,0.222
A2,img_132,0.8244
A2,img_133,0.8379
A2,img_134,0.8079
A2,img_135,0.8251
A2,img_136,0.3319
A2,img_137,0.8808
A2,img_138,0.8373
A2,img_139,0.8467
A2,img_140,0.8299
A2,img_141,0.8433
A2,img_142,0.8969
A2,img_143,0.3574
A2,img_144,0.3334
A2,img_145,0.828
A2,img_146,0.8501
A2,img_147,0.836
A2,img_148,0.8854
A2,img_149,0.8336
A2,img_150,0.2556
A2,img_151,0.8938
A2,img_152,0.8537
A2,img_153,0.8542
A2,img_154,0.8661
A2,img_155,0.8413
A2,img_156,0.8081
A2,img_157,0.8519
A2,img_158,0.9055
A2,img_159,0.8076
A2,img_160,0.8352
A2,img_161,0.8126
A2,img_162,0.8097
A2,img_163,0.8335
A2,img_164,0.8553
A2,img_165,0.7992
A2,img_166,0.8583
A2,img_167,0.3814
A2,img_168,0.2529
A2,img_169,0.8563
A2,img_170,0.8407
A2,img_171,0.819
A2,img_172,0.2819
A2,img_173,0.3702
A2,img_174,0.8719
A2,img_175,0.8384
A2,img_176,0.8569
A2,img_177,0.87
A2,img_178,0.8565
A2,img_179,0.8509
A2,img_180,0.8239
A2,img_181,0.8055
A2,img_182,0.8496
A2,img_183,0.8137
A2,img_184,0.8473
A2,img_185,0.8717
A2,img_186,0.8499
A2,img_187,0.9099
A2,img_188,0.7934
A2,img_189,0.3066
A2,img_190,0.8726
A2,img_191,0.8412
A2,img_192,0.8049
A2,img_193,0.888
A2,img_194,0.8452
A2,img_195,0.858
A2,img_196,0.8209
A2,img_197,0.8674
A2,img_198,0.8589
A2,img_199,0.8637
A2,img_200,0.8537
A3,img_001,0.8512
A3,img_002,0.8699
A3,img_003,0.8409
A3,img_004,0.8009
A3,img_005,0.8168
A3,img_006,0.8454
A3,img_007,0.82
A3,img_008,0.8525
A3,img_009,0.7996
A3,img_010,0.813
A3,img_011,0.8615
A3,img_012,0.8253
A3,img_013,0.8349
A3,img_014,0.1821
A3,img_015,0.8236
A3,img_016,0.8688
A3,img_017,0.8336
A3,img_018,0.8442
A3,img_019,0.8247
A3,img_020,0.8258
A3,img_021,0.7859
A3,img_022,0.8318
A3,img_023,0.2777
A3,img_024,0.8073
A3,img_025,0.8313
A3,img_026,0.8572
A3,img_027,0.7785
A3,img_028,0.2968
A3,img_029,0.8464
A3,img_030,0.8362
A3,img_031,0.7968
A3,img_032,0.3162
A3,img_033,0.8361
A3,img_034,0.8463
A3,img_035,0.8488
A3,img_036,0.8341
A3,img_037,0.8219
A3,img_038,0.8283
A3,img_039,0.8532
A3,img_040,0.2309
A3,img_041,0.8221
A3,img_042,0.8345
A3,img_043,0.7804
A3,img_044,0.3216
A3,img_045,0.8304
A3,img_046,0.8499
A3,img_047,0.8709
A3,img_048,0.8043
A3,img_049,0.812
A3,img_050,0.8452
A3,img_051,0.8301
A3,img_052,0.8026
A3,img_053,0.864
A3,img_054,0.3284
A3,img_055,0.7959
A3,img_056,0.815
A3,img_057,0.8144
A3,img_058,0.8562
A3,img_059,0.8022
A3,img_060,0.797
A3,img_061,0.8421
A3,img_062,0.8019
A3,img_063,0.7939
A3,img_064,0.8311
A3,img_065,0.841
A3,img_066,0.2453
A3,img_067,0.8378
A3,img_068,0.8197
A3,img_069,0.8155
A3,img_070,0.8227
A3,img_071,0.7977
A3,img_072,0.829
A3,img_073,0.2939
A3,img_074,0.2748
A3,img_075,0.8141
A3,img_076,0.2619
A3,img_077,0.9045
A3,img_078,0.7688
A3,img_079,0.2794
A3,img_080,0.8563
A3,img_081,0.8409
A3,img_082,0.8483
A3,img_083,0.8217
A3,img_084,0.8335
A3,img_085,0.269
A3,img_086,0.8412
A3,img_087,0.8106
A3,img_088,0.8039
A3,img_089,0.2508
A3,img_090,0.8247
A3,img_091,0.8554
A3,img_092,0.817
A3,img_093,0.7965
A3,img_094,0.793
A3,img_095,0.8257
A3,img_096,0.8588
A3,img_097,0.8528
A3,img_098,0.8474
A3,img_099,0.832
A3,img_100,0.8699
A3,img_101,0.8271
A3,img_102,0.7979
A3,img_103,0.8135
A3,img_104,0.8021
A3,img_105,0.7946
A3,img_106,0.8189
A3,img_107,0.8406
A3,img_108,0.8027
A3,img_109,0.8054
A3,img_110,0.8265
A3,img_111,0.8226
A3,img_112,0.8124
A3,img_113,0.2129
A3,img_114,0.8435
A3,img_115,0.2079
A3,img_116,0.8195
A3,img_117,0.7995
A3,img_118,0.8237
A3,img_119,0.839
A3,img_120,0.2816
A3,img_121,0.7979
A3,img_122,0.7876
A3,img_123,0.823
A3,img_124,0.7582
A3,img_125,0.7992
A3,img_126,0.8006
A3,img_127,0.8157
A3,img_128,0.8726
A3,img_129,0.8199
A3,img_130,0.2296
A3,img_131,0.8515
A3,img_132,0.8607
A3,img_133,0.8506
A3,img_134,0.8189
A3,img_135,0.7994
A3,img_136,0.8696
A3,img_137,0.8329
A3,img_138,0.8166
A3,img_139,0.8253
A3,img_140,0.1854
A3,img_141,0.2842
A3,img_142,0.8253
A3,img_143,0.7924
A3,img_144,0.8448
A3,img_145,0.8348
A3,img_146,0.802
A3,img_147,0.7937
A3,img_148,0.2771
A3,img_149,0.7803
A3,img_150,0.767
A3,img_151,0.768
A3,img_152,0.8199
A3,img_153,0.2807
A3,img_154,0.8379
A3,img_155,0.85
A3,img_156,0.8261
A3,img_157,0.813
A3,img_158,0.7687
A3,img_159,0.8212
A3,img_160,0.8328
A3,img_161,0.8349
A3,img_162,0.8762
A3,img_163,0.8444
A3,img_164,0.8425
A3,img_165,0.3133
A3,img_166,0.867
A3,img_167,0.8321
A3,img_168,0.8609
A3,img_169,0.8093
A3,img_170,0.8175
A3,img_171,0.8314
A3,img_172,0.2555
A3,img_173,0.7965
A3,img_174,0.8208
A3,img_175,0.8265
A3,img_176,0.8062
A3,img_177,0.8682
A3,img_178,0.1832
A3,img_179,0.8275
A3,img_180,0.826
A3,img_181,0.8111
A3,img_182,0.2597
A3,img_183,0.8259
A3,img_184,0.8162
A3,img_185,0.7785
A3,img_186,0.8063
A3,img_187,0.8203
A3,img_188,0.3254
A3,img_189,0.7721
A3,img_190,0.3012
A3,img_191,0.8534
A3,img_192,0.2939
A3,img_193,0.8625
A3,img_194,0.859
A3,img_195,0.8387
A3,img_196,0.8547
A3,img_197,0.7991
A3,img_198,0.7845
A3,img_199,0.8312
A3,img_200,0.2832
A4,img_001,0.8418
A4,img_002,0.8192
A4,img_003,0.7694
A4,img_004,0.3842
A4,img_005,0.8081
A4,img_006,0.7643
A4,img_007,0.7968
A4,img_008,0.802
A4,img_009,0.7631
A4,img_010,0.2922
A4,img_011,0.7968
A4,img_012,0.7882
A4,img_013,0.823
A4,img_014,0.8104
A4,img_015,0.7587
A4,img_016,0.2733
A4,img_017,0.8081
A4,img_018,0.8051
A4,img_019,0.79
A4,img_020,0.2325
A4,img_021,0.8389
A4,img_022,0.2953
A4,img_023,0.7941
A4,img_024,0.7991
A4,img_025,0.7935
A4,img_026,0.8257
A4,img_027,0.7763
A4,img_028,0.8359
A4,img_029,0.8066
A4,img_030,0.7853
A4,img_031,0.7792
A4,img_032,0.2243
A4,img_033,0.2581
A4,img_034,0.8235
A4,img_035,0.8001
A4,img_036,0.7764
A4,img_037,0.2898
A4,img_038,0.8054
A4,img_039,0.818
A4,img_040,0.2826
A4,img_041,0.7977
A4,img_042,0.4078
A4,img_043,0.2516
A4,img_044,0.7418
A4,img_045,0.7396
A4,img_046,0.7913
A4,img_047,0.8015
A4,img_048,0.7782
A4,img_049,0.8292
A4,img_050,0.3817
A4,img_051,0.8423
A4,img_052,0.8061
A4,img_053,0.4255
A4,img_054,0.8086
A4,img_055,0.8173
A4,img_056,0.7792
A4,img_057,0.7974
A4,img_058,0.8302
A4,img_059,0.8183
A4,img_060,0.8486
A4,img_061,0.7721
A4,img_062,0.3413
A4,img_063,0.7753
A4,img_064,0.7892
A4,img_065,0.8484
A4,img_066,0.8566
A4,img_067,0.3164
A4,img_068,0.8173
A4,img_069,0.8496
A4,img_070,0.7871
A4,img_071,0.8236
A4,img_072,0.3231
A4,img_073,0.4064
A4,img_074,0.826
A4,img_075,0.2274
A4,img_076,0.8083
A4,img_077,0.8083
A4,img_078,0.7981
A4,img_079,0.8083
A4,img_080,0.7572
A4,img_081,0.3082
A4,img_082,0.7744
A4,img_083,0.8437
A4,img_084,0.8591
A4,img_085,0.7995
A4,img_086,0.7941
A4,img_087,0.2994
A4,img_088,0.805
A4,img_089,0.3348
A4,img_090,0.8342
A4,img_091,0.8023
A4,img_092,0.7887
A4,img_093,0.8181
A4,img_094,0.8145
A4,img_095,0.7979
A4,img_096,0.7874
A4,img_097,0.8342
A4,img_098,0.8356
A4,img_099,0.826
A4,img_100,0.3554
A4,img_101,0.7751
A4,img_102,0.8053
A4,img_103,0.7883
A4,img_104,0.7705
A4,img_105,0.8069
A4,img_106,0.7478
A4,img_107,0.8406
A4,img_108,0.7857
A4,img_109,0.805
A4,img_110,0.7354
A4,img_111,0.2859
A4,img_112,0.7941
A4,img_113,0.249
A4,img_114,0.7971
A4,img_115,0.3488
A4,img_116,0.8061
A4,img_117,0.8213
A4,img_118,0.8441
A4,img_119,0.8152
A4,img_120,0.7969
A4,img_121,0.323
A4,img_122,0.8196
A4,img_123,0.8027
A4,img_124,0.8253
A4,img_125,0.2629
A4,img_126,0.8111
A4,img_127,0.8784
A4,img_128,0.8004
A4,img_129,0.8339
A4,img_130,0.7677
A4,img_131,0.7421
A4,img_132,0.8206
A4,img_133,0.7844
A4,img_134,0.7978
A4,img_135,0.7625
A4,img_136,0.2608
A4,img_137,0.7598
A4,img_138,0.8123
A4,img_139,0.8095
A4,img_140,0.3201
A4,img_141,0.2731
A4,img_142,0.7928
A4,img_143,0.8481
A4,img_144,0.8492
A4,img_145,0.7926
A4,img_146,0.7942
A4,img_147,0.745
A4,img_148,0.2944
A4,img_149,0.7637
A4,img_150,0.7736
A4,img_151,0.2642
A4,img_152,0.2608
A4,img_153,0.7754
A4,img_154,0.7716
A4,img_155,0.8105
A4,img_156,0.3337
A4,img_157,0.212
A4,img_158,0.7825
A4,img_159,0.7989
A4,img_160,0.8156
A4,img_161,0.7776
A4,img_162,0.8069
A4,img_163,0.7728
A4,img_164,0.3201
A4,img_165,0.8893
A4,img_166,0.839
A4,img_167,0.8246
A4,img_168,0.8032
A4,img_169,0.347
A4,img_170,0.8364
A4,img_171,0.8049
A4,img_172,0.7949
A4,img_173,0.7704
A4,img_174,0.8288
A4,img_175,0.8185
A4,img_176,0.8074
A4,img_177,0.8051
A4,img_178,0.8234
A4,img_179,0.8492
A4,img_180,0.8581
A4,img_181,0.839
A4,img_182,0.8465
A4,img_183,0.8198
A4,img_184,0.8446
A4,img_185,0.7821
A4,img_186,0.8346
A4,img_187,0.2273
A4,img_188,0.7967
A4,img_189,0.7889
A4,img_190,0.7812
A4,img_191,0.8005
A4,img_192,0.8259
A4,img_193,0.256
A4,img_194,0.8524
A4,img_195,0.8118
A4,img_196,0.7315
A4,img_197,0.2418
A4,img_198,0.8787
A4,img_199,0.8132
A4,img_200,0.8187
A5,img_001,0.3196
A5,img_002,0.8716
A5,img_003,0.8668
A5,img_004,0.8953
A5,img_005,0.8875
A5,img_006,0.3276
A5,img_007,0.384
A5,img_008,0.8672
A5,img_009,0.405
A5,img_010,0.8753
A5,img_011,0.8585
A5,img_012,0.8525
A5,img_013,0.3157
A5,img_014,0.848
A5,img_015,0.8617
A5,img_016,0.8656
A5,img_017,0.8629
A5,img_018,0.2372
A5,img_019,0.8393
A5,img_020,0.8761
A5,img_021,0.8743
A5,img_022,0.8902
A5,img_023,0.8336
A5,img_024,0.8849
A5,img_025,0.8716
A5,img_026,0.8887
A5,img_027,0.8742
A5,img_028,0.3518
A5,img_029,0.8077
A5,img_030,0.2236
A5,img_031,0.8198
A5,img_032,0.3067
A5,img_033,0.8414
A5,img_034,0.8647
A5,img_035,0.8517
A5,img_036,0.9069
A5,img_037,0.8833
A5,img_038,0.2858
A5,img_039,0.8781
A5,img_040,0.89
A5,img_041,0.2907
A5,img_042,0.8717
A5,img_043,0.3373
A5,img_044,0.8571
A5,img_045,0.2438
A5,img_046,0.4134
A5,img_047,0.8527
A5,img_048,0.8464
A5,img_049,0.8568
A5,img_050,0.893
A5,img_051,0.8789
A5,img_052,0.8609
A5,img_053,0.8323
A5,img_054,0.8669
A5,img_055,0.9007
A5,img_056,0.8725
A5,img_057,0.842
A5,img_058,0.298
A5,img_059,0.8612
A5,img_060,0.8587
A5,img_061,0.8899
A5,img_062,0.8549
A5,img_063,0.83
A5,img_064,0.8572
A5,img_065,0.8731
A5,img_066,0.8765
A5,img_067,0.8607
A5,img_068,0.4022
A5,img_069,0.8826
A5,img_070,0.8686
A5,img_071,0.8347
A5,img_072,0.8815
A5,img_073,0.8479
A5,img_074,0.8742
A5,img_075,0.9096
A5,img_076,0.9033
A5,img_077,0.8685
A5,img_078,0.8617
A5,img_079,0.8525
A5,img_080,0.8771
A5,img_081,0.8763
A5,img_082,0.8562
A5,img_083,0.8799
A5,img_084,0.8531
A5,img_085,0.9115
A5,img_086,0.3893
A5,img_087,0.8488
A5,img_088,0.3242
A5,img_089,0.8752
A5,img_090,0.8697
A5,img_091,0.8945
A5,img_092,0.317
A5,img_093,0.3793
A5,img_094,0.3601
A5,img_095,0.8614
A5,img_096,0.3959
A5,img_097,0.8648
A5,img_098,0.8991
A5,img_099,0.8425
A5,img_100,0.4405
A5,img_101,0.8945
A5,img_102,0.8378
A5,img_103,0.8822
A5,img_104,0.8599
A5,img_105,0.3206
A5,img_106,0.2126
A5,img_107,0.8915
A5,img_108,0.8633
A5,img_109,0.2321
A5,img_110,0.3416
A5,img_111,0.8645
A5,img_112,0.8372
A5,img_113,0.8844
A5,img_114,0.8943
A5,img_115,0.8723
A5,img_116,0.8059
A5,img_117,0.874
A5,img_118,0.8552
A5,img_119,0.8916
A5,img_120,0.8728
A5,img_121,0.8658
A5,img_122,0.8589
A5,img_123,0.8721
A5,img_124,0.8874
A5,img_125,0.364
A5,img_126,0.9022
A5,img_127,0.8476
A5,img_128,0.8433
A5,img_129,0.8645
A5,img_130,0.2201
A5,img_131,0.8627
A5,img_132,0.3184
A5,img_133,0.8579
A5,img_134,0.343
A5,img_135,0.8296
A5,img_136,0.8359
A5,img_137,0.8792
A5,img_138,0.8938
A5,img_139,0.8375
A5,img_140,0.8842
A5,img_141,0.8848
A5,img_142,0.8708
A5,img_143,0.8673
A5,img_144,0.8895
A5,img_145,0.8574
A5,img_146,0.2902
A5,img_147,0.3574
A5,img_148,0.8722
A5,img_149,0.8716
A5,img_150,0.4399
A5,img_151,0.8816
A5,img_152,0.2772
A5,img_153,0.3099
A5,img_154,0.8329
A5,img_155,0.347
A5,img_156,0.8276
A5,img_157,0.8708
A5,img_158,0.2603
A5,img_159,0.8468
A5,img_160,0.3171
A5,img_161,0.878
A5,img_162,0.3337
A5,img_163,0.8608
A5,img_164,0.8806
A5,img_165,0.8701
A5,img_166,0.8467
A5,img_167,0.8534
A5,img_168,0.3127
A5,img_169,0.8574
A5,img_170,0.8303
A5,img_171,0.8541
A5,img_172,0.2375
A5,img_173,0.2788
A5,img_174,0.1788
A5,img_175,0.8566
A5,img_176,0.8686
A5,img_177,0.8596
A5,img_178,0.8537
A5,img_179,0.8368
A5,img_180,0.8843
A5,img_181,0.3605
A5,img_182,0.8429
A5,img_183,0.2141
A5,img_184,0.9096
A5,img_185,0.8924
A5,img_186,0.8516
A5,img_187,0.3712
A5,img_188,0.8834
A5,img_189,0.8621
A5,img_190,0.8436
A5,img_191,0.8401
A5,img_192,0.8365
A5,img_193,0.8715
A5,img_194,0.8575
A5,img_195,0.2659
A5,img_196,0.911
A5,img_197,0.3762
A5,img_198,0.8505
A5,img_199,0.8585
A5,img_200,0.3603
A6,img_001,0.7938
A6,img_002,0.2785
A6,img_003,0.3773
A6,img_004,0.7451
A6,img_005,0.7926
A6,img_006,0.8052
A6,img_007,0.3235
A6,img_008,0.8092
A6,img_009,0.7822
A6,img_010,0.7703
A6,img_011,0.7912
A6,img_012,0.7596
A6,img_013,0.7942
A6,img_014,0.8477
A6,img_015,0.8043
A6,img_016,0.7903
A6,img_017,0.7929
A6,img_018,0.763
A6,img_019,0.7764
A6,img_020,0.3188
A6,img_021,0.7741
A6,img_022,0.7809
A6,img_023,0.7891
A6,img_024,0.7951
A6,img_025,0.8023
A6,img_026,0.7745
A6,img_027,0.2969
A6,img_028,0.7481
A6,img_029,0.8471
A6,img_030,0.7822
A6,img_031,0.8188
A6,img_032,0.7268
A6,img_033,0.7667
A6,img_034,0.7994
A6,img_035,0.7802
A6,img_036,0.2296
A6,img_037,0.8074
A6,img_038,0.8612
A6,img_039,0.7928
A6,img_040,0.8158
A6,img_041,0.3963
A6,img_042,0.7637
A6,img_043,0.8131
A6,img_044,0.781
A6,img_045,0.7752
A6,img_046,0.2815
A6,img_047,0.8101
A6,img_048,0.3047
A6,img_049,0.7783
A6,img_050,0.7989
A6,img_051,0.7668
A6,img_052,0.8153
A6,img_053,0.7767
A6,img_054,0.8238
A6,img_055,0.7496
A6,img_056,0.377
A6,img_057,0.7583
A6,img_058,0.8339
A6,img_059,0.8124
A6,img_060,0.3801
A6,img_061,0.7921
A6,img_062,0.8093
A6,img_063,0.7982
A6,img_064,0.8099
A6,img_065,0.7982
A6,img_066,0.7866
A6,img_067,0.8743
A6,img_068,0.7802
A6,img_069,0.3527
A6,img_070,0.2743
A6,img_071,0.7922
A6,img_072,0.7711
A6,img_073,0.8207
A6,img_074,0.8106
A6,img_075,0.7511
A6,img_076,0.7971
A6,img_077,0.7843
A6,img_078,0.773
A6,img_079,0.3149
A6,img_080,0.7169
A6,img_081,0.8174
A6,img_082,0.2279
A6,img_083,0.7714
A6,img_084,0.7562
A6,img_085,0.3253
A6,img_086,0.4184
A6,img_087,0.823
A6,img_088,0.8236
A6,img_089,0.3963
A6,img_090,0.8024
A6,img_091,0.7898
A6,img_092,0.7618
A6,img_093,0.7535
A6,img_094,0.8264
A6,img_095,0.7929
A6,img_096,0.2815
A6,img_097,0.3761
A6,img_098,0.8164
A6,img_099,0.8368
A6,img_100,0.7625
A6,img_101,0.7636
A6,img_102,0.858
A6,img_103,0.7547
A6,img_104,0.7922
A6,img_105,0.7217
A6,img_106,0.3547
A6,img_107,0.3307
A6,img_108,0.353
A6,img_109,0.7752
A6,img_110,0.7917
A6,img_111,0.7584
A6,img_112,0.4182
A6,img_113,0.8412
A6,img_114,0.7344
A6,img_115,0.818
A6,img_116,0.2632
A6,img_117,0.8143
A6,img_118,0.7777
A6,img_119,0.8214
A6,img_120,0.7836
A6,img_121,0.776
A6,img_122,0.8343
A6,img_123,0.7961
A6,img_124,0.3061
A6,img_125,0.3764
A6,img_126,0.3486
A6,img_127,0.351
A6,img_128,0.3196
A6,img_129,0.3559
A6,img_130,0.4395
A6,img_131,0.3799
A6,img_132,0.8267
A6,img_133,0.8045
A6,img_134,0.7911
A6,img_135,0.7422
A6,img_136,0.8082
A6,img_137,0.7202
A6,img_138,0.4177
A6,img_139,0.799
A6,img_140,0.7761
A6,img_141,0.3456
A6,img_142,0.7856
A6,img_143,0.3285
A6,img_144,0.3699
A6,img_145,0.7857
A6,img_146,0.2506
A6,img_147,0.7507
A6,img_148,0.2394
A6,img_149,0.2541
A6,img_150,0.7765
A6,img_151,0.7933
A6,img_152,0.7725
A6,img_153,0.7851
A6,img_154,0.7314
A6,img_155,0.7898
A6,img_156,0.8343
A6,img_157,0.7963
A6,img_158,0.7724
A6,img_159,0.7832
A6,img_160,0.7565
A6,img_161,0.7741
A6,img_162,0.8033
A6,img_163,0.8233
A6,img_164,0.3616
A6,img_165,0.7873
A6,img_166,0.8089
A6,img_167,0.8205
A6,img_168,0.79
A6,img_169,0.7467
A6,img_170,0.7564
A6,img_171,0.388
A6,img_172,0.7978
A6,img_173,0.8168
A6,img_174,0.7727
A6,img_175,0.3019
