task,alg_name,value,case
c_ideal,A2,0.83537655,22
c_ideal,A2,0.877079395,23
c_ideal,A2,0.82378288,24
c_ideal,A2,0.808517452,25
c_ideal,A2,0.86519003,26
c_ideal,A2,0.8882429,27
c_ideal,A2,0.818054026,28
c_ideal,A2,0.849703745,29
c_ideal,A2,0.831091802,30
c_ideal,A2,0.836755101,31
c_ideal,A2,0.816922809,32
c_ideal,A2,0.831099739,33
c_ideal,A2,0.816529042,34
c_ideal,A2,0.873180309,35
c_ideal,A2,0.879347187,36
c_ideal,A2,0.863055316,37
c_ideal,A2,0.824878462,38
c_ideal,A2,0.838880402,39
c_ideal,A2,0.801153433,40
c_ideal,A2,0.850673445,41
c_ideal,A2,0.860363024,42
c_ideal,A2,0.828224209,43
c_ideal,A2,0.88527893,44
c_ideal,A2,0.815192273,45
c_ideal,A2,0.83963727,46
c_ideal,A2,0.851446408,47
c_ideal,A2,0.887718857,48
c_ideal,A2,0.868829396,49
c_ideal,A2,0.839874959,50
c_ideal,A3,0.732027621,1
c_ideal,A3,0.703281129,2
c_ideal,A3,0.753449235,3
c_ideal,A3,0.786539795,4
c_ideal,A3,0.72274574,5
c_ideal,A3,0.776248563,6
c_ideal,A3,0.719150328,7
c_ideal,A3,0.725010176,8
c_ideal,A3,0.743144658,9
c_ideal,A3,0.770199982,10
c_ideal,A3,0.781084632,11
c_ideal,A3,0.784911459,12
c_ideal,A3,0.737369366,13
c_ideal,A3,0.730069922,14
c_ideal,A3,0.725445856,15
c_ideal,A3,0.706499943,16
c_ideal,A3,0.706361423,17
c_ideal,A3,0.714305515,18
c_ideal,A3,0.713577684,19
c_ideal,A3,0.767688303,20
c_ideal,A3,0.708611836,21
c_ideal,A3,0.755034307,22
c_ideal,A3,0.718085003,23
c_ideal,A3,0.745298576,24
c_ideal,A3,0.71161904,25
c_ideal,A3,0.700263051,26
c_ideal,A3,0.757945806,27
c_ideal,A3,0.721693275,28
c_ideal,A3,0.737803182,29
c_ideal,A3,0.764388491,30
c_ideal,A3,0.709061621,31
c_ideal,A3,0.754615316,32
c_ideal,A3,0.719118846,33
c_ideal,A3,0.780526668,34
c_ideal,A3,0.750687823,35
c_ideal,A3,0.722295231,36
c_ideal,A3,0.765759024,37
c_ideal,A3,0.723969909,38
c_ideal,A3,0.76788315,39
c_ideal,A3,0.786214895,40
c_ideal,A3,0.743311265,41
c_ideal,A3,0.78185452,42
c_ideal,A3,0.789109488,43
c_ideal,A3,0.720917554,44
c_ideal,A3,0.725360072,45
c_ideal,A3,0.763353274,46
c_ideal,A3,0.775023769,47
c_ideal,A3,0.741911101,48
c_ideal,A3,0.735161599,49
c_ideal,A3,0.708449936,50
c_ideal,A4,0.667793899,1
c_ideal,A4,0.671366919,2
c_ideal,A4,0.640875982,3
c_ideal,A4,0.632473986,4
c_ideal,A4,0.632466813,5
c_ideal,A4,0.605505168,6
c_ideal,A4,0.64120936,7
c_ideal,A4,0.643840563,8
c_ideal,A4,0.646610967,9
c_ideal,A4,0.603322588,10
c_ideal,A4,0.603794231,11
c_ideal,A4,0.6811198,12
c_ideal,A4,0.684610856,13
c_ideal,A4,0.656553763,14
c_ideal,A4,0.670312259,15
c_ideal,A4,0.667428402,16
c_ideal,A4,0.612239232,17
c_ideal,A4,0.615861035,18
c_ideal,A4,0.603779311,19
c_ideal,A4,0.659794557,20
c_ideal,A4,0.659898846,21
c_ideal,A4,0.658198569,22
c_ideal,A4,0.669455928,23
c_ideal,A4,0.626088723,24
c_ideal,A4,0.672588707,25
c_ideal,A4,0.649281032,26
c_ideal,A4,0.655794792,27
c_ideal,A4,0.642516576,28
c_ideal,A4,0.640914887,29
c_ideal,A4,0.687252529,30
c_ideal,A4,0.659768124,31
c_ideal,A4,0.675779465,32
c_ideal,A4,0.619126755,33
c_ideal,A4,0.616491915,34
c_ideal,A4,0.624557063,35
c_ideal,A4,0.652271375,36
c_ideal,A4,0.686114552,37
c_ideal,A4,0.622655113,38
c_ideal,A4,0.621331048,39
c_ideal,A4,0.624517844,40
c_ideal,A4,0.640230317,41
c_ideal,A4,0.632633509,42
c_ideal,A4,0.61428409,43
c_ideal,A4,0.655759704,44
c_ideal,A4,0.687256643,45
c_ideal,A4,0.604787456,46
c_ideal,A4,0.633112084,47
c_ideal,A4,0.66442397,48
c_ideal,A4,0.675131145,49
c_ideal,A4,0.62432628,50
c_ideal,A5,0.575454339,1
c_ideal,A5,0.508658974,2
c_ideal,A5,0.515595802,3
c_ideal,A5,0.534046503,4
c_ideal,A5,0.557287251,5
c_ideal,A5,0.554639211,6
c_ideal,A5,0.524850445,7
c_ideal,A5,0.589903149,8
c_ideal,A5,0.500774339,9
c_ideal,A5,0.579229792,10
c_ideal,A5,0.577353862,11
c_ideal,A5,0.509952354,12
c_ideal,A5,0.567321029,13
c_ideal,A5,0.510701347,14
c_ideal,A5,0.515062956,15
c_ideal,A5,0.500437547,16
c_ideal,A5,0.502170855,17
c_ideal,A5,0.549939878,18
c_ideal,A5,0.525141489,19
c_ideal,A5,0.582793508,20
c_ideal,A5,0.575041686,21
c_ideal,A5,0.584916633,22
c_ideal,A5,0.563866336,23
c_ideal,A5,0.552022318,24
c_ideal,A5,0.542053537,25
c_ideal,A5,0.578752412,26
c_ideal,A5,0.504211931,27
c_ideal,A5,0.582718304,28
c_ideal,A5,0.579862402,29
c_ideal,A5,0.554840544,30
c_ideal,A5,0.57573191,31
c_ideal,A5,0.537332831,32
c_ideal,A5,0.56876278,33
c_ideal,A5,0.500852982,34
c_ideal,A5,0.517930968,35
c_ideal,A5,0.509200492,36
c_ideal,A5,0.565972184,37
c_ideal,A5,0.509507084,38
c_ideal,A5,0.521146274,39
c_ideal,A5,0.539445706,40
c_ideal,A5,0.529388889,41
c_ideal,A5,0.501093963,42
c_ideal,A5,0.510435022,43
c_ideal,A5,0.540892701,44
c_ideal,A5,0.558671571,45
c_ideal,A5,0.588943342,46
c_ideal,A5,0.527251612,47
c_ideal,A5,0.52632944,48
c_ideal,A5,0.573669877,49
c_ideal,A5,0.515891592,50
c_random,A1,0.70548305,1
c_random,A1,0.843386365,2
c_random,A1,0.660241675,3
c_random,A1,0.956697663,4
c_random,A1,0.861703078,5
c_random,A1,0.663634151,6
c_random,A1,0.879470878,7
c_random,A1,0.903638679,8
c_random,A1,0.888526874,9
c_random,A1,0.767564833,10
c_random,A1,0.953103532,11
c_random,A1,0.868737655,12
c_random,A1,0.706565076,13
c_random,A1,0.32856117,14
c_random,A1,0.932448958,15
c_random,A1,0.810776932,16
c_random,A1,0.815147329,17
c_random,A1,0.920109535,18
c_random,A1,0.910619386,19
c_random,A1,0.890309005,20
c_random,A1,0.918263023,21
c_random,A1,0.907386729,22
c_random,A1,0.828433409,23
c_random,A1,0.380046303,24
c_random,A1,0.892815255,25
c_random,A1,0.809053423,26
c_random,A1,0.793180519,27
c_random,A1,0.507311383,28
c_random,A1,0.73533279,29
c_random,A1,0.871908715,30
c_random,A1,0.94576561,31
c_random,A1,0.801741146,32
c_random,A1,0.868489821,33
c_random,A1,0.809412144,34
c_random,A1,0.530696457,35
c_random,A1,0.747440047,36
c_random,A1,0.751328467,37
c_random,A1,0.808560953,38
c_random,A1,0.930863213,39
c_random,A1,0.905781005,40
c_random,A1,0.791745053,41
c_random,A1,0.776717396,42
c_random,A1,0.899976489,43
c_random,A1,0.886619168,44
c_random,A1,0.692374595,45
c_random,A1,0.688368916,46
c_random,A1,0.86583012,47
c_random,A1,0.906237203,48
c_random,A1,0.80021742,49
c_random,A1,0.915375282,50
c_random,A2,0.869676998,1
c_random,A2,0.708471819,2
c_random,A2,0.863081078,3
c_random,A2,0.591612868,4
c_random,A2,0.949454981,5
c_random,A2,0.970124912,6
c_random,A2,0.756351301,7
c_random,A2,0.612032871,8
c_random,A2,0.887925063,9
c_random,A2,0.796562279,10
c_random,A2,0.98019113,11
c_random,A2,0.811648887,12
c_random,A2,0.899324311,13
c_random,A2,0.821713818,14
c_random,A2,0.680642663,15
c_random,A2,0.844065269,16
c_random,A2,0.424345755,17
c_random,A2,0.950993527,18
c_random,A2,0.839330264,19
c_random,A2,0.975219649,20
c_random,A2,0.878201661,21
c_random,A2,0.687842833,22
c_random,A2,0.891941361,23
c_random,A2,0.637817131,24
c_random,A2,0.561281996,25
c_random,A2,0.857104498,26
c_random,A2,0.742060962,27
c_random,A2,0.817739278,28
c_random,A2,0.828401618,29
c_random,A2,0.713098182,30
c_random,A2,0.717345293,31
c_random,A2,0.796542182,32
c_random,A2,0.935721158,33
c_random,A2,0.494108573,34
c_random,A2,0.890313386,35
c_random,A2,0.862112825,36
c_random,A2,0.928448659,37
c_random,A2,0.767779651,38
c_random,A2,0.866460454,39
c_random,A2,0.854096506,40
c_random,A2,0.722616969,41
c_random,A2,0.937489312,42
c_random,A2,0.934649263,43
c_random,A2,0.900268695,44
c_random,A2,0.956346359,45
c_random,A2,0.88680232,46
c_random,A2,0.555620799,47
c_random,A2,0.716412334,48
c_random,A2,0.568415019,49
c_random,A2,0.736256081,50
c_random,A3,0.706746231,1
c_random,A3,0.8237721,2
c_random,A3,0.643153649,3
c_random,A3,0.839973212,4
c_random,A3,0.699604525,5
c_random,A3,0.963289362,6
c_random,A3,0.901739847,7
c_random,A3,0.917599856,8
c_random,A3,0.868091126,9
c_random,A3,0.960157995,10
c_random,A3,0.703550661,11
c_random,A3,0.73853253,12
c_random,A3,0.949419386,13
c_random,A3,0.700421046,14
c_random,A3,0.784590196,15
c_random,A3,0.751605256,16
c_random,A3,0.764949086,17
c_random,A3,0.772219554,18
c_random,A3,0.880185538,19
c_random,A3,0.789625502,20
c_random,A3,0.729885659,21
c_random,A3,0.944957733,22
c_random,A3,0.783371068,23
c_random,A3,0.789255479,24
c_random,A3,0.802153619,25
c_random,A3,0.901381197,26
c_random,A3,0.806345333,27
c_random,A3,0.811894255,28
c_random,A3,0.693883753,29
c_random,A3,0.764179129,30
c_random,A3,0.826376374,31
c_random,A3,0.713226332,32
c_random,A3,0.884064518,33
c_random,A3,0.495401609,34
c_random,A3,0.858945346,35
c_random,A3,0.490888553,36
c_random,A3,0.76835109,37
c_random,A3,0.725462217,38
c_random,A3,0.70012753,39
c_random,A3,0.808934743,40
c_random,A3,0.397867275,41
c_random,A3,0.935630656,42
c_random,A3,0.458850176,43
c_random,A3,0.738168239,44
c_random,A3,0.594856746,45
c_random,A3,0.679000217,46
c_random,A3,0.973068727,47
c_random,A3,0.820154652,48
c_random,A3,0.553222477,49
c_random,A3,0.464906414,50
c_random,A4,0.875467042,1
c_random,A4,0.814790011,2
c_random,A4,0.765294937,3
c_random,A4,0.638910343,4
c_random,A4,0.503134881,5
c_random,A4,0.604633117,6
c_random,A4,0.924143839,7
c_random,A4,0.706559662,8
c_random,A4,0.52886117,9
c_random,A4,0.966730884,10
c_random,A4,0.872706113,11
c_random,A4,0.779258914,12
c_random,A4,0.92814135,13
c_random,A4,0.915786086,14
c_random,A4,0.706979056,15
c_random,A4,0.976016244,16
c_random,A4,0.776428445,17
c_random,A4,0.518867375,18
c_random,A4,0.795043717,19
c_random,A4,0.846516723,20
c_random,A4,0.978288837,21
c_random,A4,0.832827785,22
c_random,A4,0.876207787,23
c_random,A4,0.805784358,24
c_random,A4,0.762421083,25
c_random,A4,0.81233799,26
c_random,A4,0.90784817,27
c_random,A4,0.972754543,28
c_random,A4,0.92603996,29
c_random,A4,0.937491691,30
c_random,A4,0.566767978,31
c_random,A4,0.9230051,32
c_random,A4,0.84811915,33
c_random,A4,0.508186761,34
c_random,A4,0.882986721,35
c_random,A4,0.792694672,36
c_random,A4,0.950948415,37
c_random,A4,0.675664461,38
c_random,A4,0.744556644,39
c_random,A4,0.639660403,40
c_random,A4,0.789663128,41
c_random,A4,0.87011905,42
c_random,A4,0.683142608,43
c_random,A4,0.911361487,44
c_random,A4,0.572465434,45
c_random,A4,0.611118351,46
c_random,A4,0.949843909,47
c_random,A4,0.618727955,48
c_random,A4,0.871240834,49
c_random,A4,0.753789065,50
c_random,A5,0.870951933,1
c_random,A5,0.960413406,2
c_random,A5,0.956336129,3
c_random,A5,0.762980887,4
c_random,A5,0.313192607,5
c_random,A5,0.981972441,6
c_random,A5,0.897252811,7
c_random,A5,0.885068357,8
c_random,A5,0.815567474,9
c_random,A5,0.881854319,10
c_random,A5,0.791769416,11
c_random,A5,0.872215875,12
c_random,A5,0.75021387,13
c_random,A5,0.532402556,14
c_random,A5,0.923284827,15
c_random,A5,0.953458212,16
c_random,A5,0.766966237,17
c_random,A5,0.561366615,18
c_random,A5,0.894941527,19
c_random,A5,0.810811368,20
c_random,A5,0.441958238,21
c_random,A5,0.81789222,22
c_random,A5,0.704683201,23
c_random,A5,0.761156674,24
c_random,A5,0.585022896,25
c_random,A5,0.96453644,26
c_random,A5,0.762940334,27
c_random,A5,0.473646092,28
c_random,A5,0.845167826,29
c_random,A5,0.853606942,30
c_random,A5,0.625784283,31
c_random,A5,0.199580121,32
c_random,A5,0.702560003,33
c_random,A5,0.888003457,34
c_random,A5,0.8084975,35
c_random,A5,0.802472735,36
c_random,A5,0.887036435,37
c_random,A5,0.577749431,38
c_random,A5,0.930653867,39
c_random,A5,0.81677608,40
c_random,A5,0.900904093,41
c_random,A5,0.926498576,42
c_random,A5,0.848576593,43
c_random,A5,0.650512425,44
c_random,A5,0.934805572,45
c_random,A5,0.377501907,46
c_random,A5,0.722161595,47
c_random,A5,0.776316691,48
c_random,A5,0.791481537,49
c_random,A5,0.925564022,50
