case_id,ground_truth,alg_01,alg_02,alg_03,alg_04,alg_05
254,3,3,3,3,3,3
255,0,2,0,0,0,1
256,1,1,1,1,1,3
257,3,3,0,2,3,3
258,3,3,3,3,3,3
259,3,3,3,3,3,3
260,0,0,0,0,0,0
261,1,1,1,1,1,1
262,3,3,3,3,3,3
263,2,2,0,2,2,2
264,1,1,0,1,2,2
265,2,2,2,1,2,2
266,2,0,2,2,2,2
267,1,0,1,1,1,1
268,3,3,2,3,3,3
269,1,1,1,1,1,1
270,0,2,3,0,0,3
271,1,1,1,1,1,1
272,0,0,0,0,0,3
273,3,3,3,1,0,3
274,0,0,0,0,0,0
275,1,1,1,1,1,1
276,3,0,3,2,3,3
277,0,0,2,0,0,3
278,0,0,0,0,0,0
279,0,0,3,0,0,0
280,1,2,1,1,1,2
281,2,2,2,2,2,2
282,0,1,1,0,0,0
283,0,0,0,0,0,2
284,2,0,2,2,2,0
285,3,3,3,3,3,2
286,3,3,3,3,2,2
287,3,3,3,3,3,3
288,3,3,0,3,3,3
289,2,2,2,2,2,2
290,0,0,0,0,0,2
291,2,2,2,2,2,2
292,3,3,3,3,3,1
293,1,1,1,3,1,0
294,1,1,1,3,1,1
295,1,1,1,1,3,1
296,1,1,1,1,1,1
297,1,1,1,1,1,1
298,3,3,3,3,1,3
299,2,2,2,2,2,2
300,1,1,1,1,3,1
301,3,2,3,3,3,3
302,1,1,1,1,1,1
303,3,3,3,3,3,3
304,0,1,0,0,0,0
305,1,1,1,1,1,1
306,1,1,1,1,0,0
307,0,0,0,0,0,0
308,2,2,1,2,2,2
309,0,1,3,0,0,0
310,1,1,1,1,1,1
311,2,2,2,3,2,1
312,2,2,2,2,2,2
313,0,0,0,0,0,0
314,2,2,1,2,2,0
315,0,0,0,2,0,0
316,2,2,3,2,0,2
317,1,1,0,1,1,2
318,3,3,3,3,3,3
319,0,0,0,0,3,0
320,0,0,0,0,0,2
321,2,2,2,2,2,2
322,2,3,2,2,2,3
323,0,3,0,0,0,0
324,1,1,2,1,1,0
325,1,1,1,3,1,1
326,0,1,0,2,0,0
327,2,2,2,2,1,3
328,2,2,2,2,0,2
329,3,3,3,3,3,3
330,0,0,0,0,0,0
331,0,1,0,2,0,0
332,3,2,0,3,3,1
333,0,0,0,0,0,0
334,1,1,1,1,3,1
335,0,0,0,0,0,3
336,1,1,2,1,1,1
337,2,2,1,2,2,2
338,3,3,3,1,3,3
339,0,0,1,3,0,0
340,3,0,3,3,3,3
341,2,2,2,2,1,2
342,1,1,0,1,1,1
343,3,3,3,3,3,3
344,3,3,2,3,3,3
345,0,0,0,0,0,0
346,3,3,3,2,3,3
347,1,1,1,1,2,1
348,1,1,1,1,1,3
349,0,0,0,3,0,0
350,0,0,0,0,0,0
351,1,1,2,1,1,1
352,2,0,2,2,2,2
353,2,2,2,2,2,2
354,0,0,0,0,2,1
355,0,0,0,2,0,0
356,0,0,0,0,0,0
357,0,0,3,0,0,0
358,3,1,1,2,3,3
359,0,0,0,0,0,0
360,3,3,3,2,0,0
361,0,0,0,2,1,2
362,0,0,0,0,1,0
363,3,3,3,3,3,3
364,2,2,2,2,2,2
365,3,3,3,3,3,0
366,1,1,1,1,1,3
367,3,3,3,3,3,3
368,3,3,3,3,1,3
369,2,2,2,2,2,2
370,1,1,1,1,1,1
371,0,0,0,0,0,0
372,2,2,2,2,2,2
373,0,0,0,0,0,0
374,1,1,1,1,2,1
375,3,3,3,3,0,3
376,1,1,1,1,1,3
377,2,2,2,2,2,1
378,0,0,0,0,0,0
379,1,1,1,1,1,1
380,3,3,3,3,3,1
381,0,2,0,0,2,2
382,3,3,3,3,0,3
383,2,2,2,2,2,2
384,0,0,0,0,0,0
385,1,0,1,0,1,1
386,1,1,1,1,1,2
387,0,0,2,0,2,0
388,1,1,3,1,1,1
389,2,2,2,2,2,2
390,1,1,1,1,1,1
391,2,2,1,2,2,2
392,0,0,0,0,1,0
393,0,0,0,0,0,0
394,1,2,0,0,1,1
395,1,2,1,1,2,1
396,2,3,2,2,2,0
397,3,3,3,3,3,3
398,0,0,0,0,0,1
399,1,1,1,1,0,1
400,3,3,3,3,3,3
401,3,1,3,3,3,3
402,2,2,2,2,2,2
403,3,3,3,3,0,0
404,0,0,0,0,0,0
405,0,0,0,2,0,0
406,1,1,1,1,1,1
407,1,1,0,1,1,1
408,1,1,3,1,1,1
409,1,1,1,1,1,1
410,0,0,3,0,0,0
411,2,3,0,2,2,2
412,2,2,2,0,1,2
413,2,0,2,2,0,2
414,1,1,1,1,1,1
415,3,3,3,3,3,3
416,1,1,1,1,1,1
417,3,1,3,3,3,3
418,1,1,0,1,3,1
419,2,2,2,2,2,2
420,1,1,1,2,1,1
421,2,2,0,2,2,2
422,1,2,1,3,1,1
423,0,2,0,0,0,0
424,0,0,0,0,0,0
425,0,0,0,0,0,2
426,3,2,2,3,3,1
427,3,3,0,1,3,3
428,1,1,2,1,1,1
429,0,0,0,0,0,0
430,2,2,2,3,2,2
431,1,2,1,1,0,1
432,0,0,3,1,0,0
433,1,1,1,1,1,3
434,1,1,2,1,1,2
435,0,0,0,0,2,3
436,0,0,0,0,0,2
437,3,2,2,3,1,3
438,3,3,3,3,3,3
439,1,1,1,1,1,1
440,3,3,3,3,3,1
441,0,0,0,0,0,0
442,2,2,2,2,2,2
443,3,3,3,3,3,3
444,3,3,3,2,0,3
445,0,0,0,0,2,0
446,3,0,3,3,0,3
447,0,0,0,0,1,0
448,1,3,1,3,1,3
449,3,0,3,3,3,3
450,0,2,3,1,0,0
451,0,1,0,0,0,0
452,1,1,1,1,1,1
453,1,1,1,1,1,1
454,1,1,1,1,1,2
455,3,3,0,3,3,3
456,0,2,0,0,0,0
457,2,2,3,2,2,2
458,3,3,3,3,3,3
459,1,0,1,1,1,1
460,2,2,2,1,0,2
461,1,1,1,0,1,1
462,1,1,1,0,1,1
463,0,0,0,2,0,0
464,0,0,0,0,2,0
465,0,3,0,0,0,0
466,2,2,2,2,2,2
467,2,2,2,2,2,2
468,0,0,0,0,0,0
469,3,3,3,3,3,3
470,1,3,1,1,1,1
471,0,1,0,0,0,0
472,3,3,1,3,3,3
473,0,0,0,3,0,1
474,1,2,1,1,1,3
475,3,3,3,3,0,3
476,1,1,2,1,2,1
477,0,0,0,0,0,2
478,0,0,0,0,1,2
479,2,2,2,2,3,0
480,2,2,2,2,2,1
481,3,3,2,3,3,3
482,2,1,2,2,3,1
483,1,1,1,1,1,2
484,1,1,1,1,1,1
485,1,1,1,1,1,1
486,2,2,2,0,1,2
487,0,0,0,0,2,0
488,1,1,1,1,1,1
489,3,2,1,3,3,3
490,1,1,1,1,1,1
491,2,2,2,2,2,2
492,2,2,2,2,2,2
493,1,0,1,1,1,1
494,2,2,2,2,2,2
495,3,3,3,2,0,3
496,3,3,3,3,2,3
497,1,1,2,1,1,1
498,3,3,2,3,3,3
499,1,1,1,1,1,1
500,2,2,2,1,2,0
501,0,1,0,0,0,0
502,3,3,2,3,3,3
503,0,0,0,0,0,0
504,2,2,0,2,2,2
505,1,2,1,1,0,1
506,2,2,2,1,2,3
507,0,0,0,0,0,0
508,0,3,0,0,0,0
509,3,3,3,0,3,3
510,3,3,3,3,3,3
511,0,0,3,0,0,0
512,2,2,2,2,2,2
513,1,1,1,1,1,1
514,3,3,3,3,3,0
515,1,1,1,1,1,3
516,3,3,3,3,0,3
517,1,0,1,1,2,1
518,1,1,1,1,0,1
519,1,1,1,1,1,1
520,1,3,1,1,1,0
521,2,2,2,3,3,2
522,2,2,2,2,2,2
523,3,3,3,3,3,3
524,1,1,1,1,2,1
525,0,0,0,0,0,0
526,3,3,3,3,3,3
527,1,1,3,0,2,0
528,1,1,1,1,1,1
529,2,2,3,2,0,2
530,1,1,1,2,1,1
531,3,3,3,3,3,3
532,0,0,0,3,0,0
533,0,0,0,0,0,0
534,3,3,3,3,3,3
535,3,3,3,2,1,2
536,2,2,2,2,2,2
537,2,2,2,2,2,2
538,0,0,0,0,0,0
539,1,1,1,1,2,1
540,0,0,0,3,0,0
541,0,0,0,0,0,0
542,2,2,2,2,2,2
543,2,2,2,2,2,2
544,3,3,3,2,3,3
545,2,2,3,2,3,2
546,1,1,1,2,1,2
547,2,3,2,2,2,2
548,2,0,2,1,1,2
549,1,0,0,1,1,1
550,0,0,0,0,0,0
551,0,0,0,2,0,3
552,2,2,2,2,1,3
553,1,3,1,1,1,1
554,1,1,3,1,1,1
555,3,1,1,3,3,3
556,2,2,2,2,2,3
557,0,0,2,3,0,3
558,1,1,1,1,1,1
559,1,2,1,1,0,0
560,0,0,0,0,0,0
561,1,1,1,0,1,1
562,1,1,1,1,1,1
563,2,2,2,2,2,0
564,2,2,0,2,2,2
565,2,3,2,0,2,2
566,2,2,2,2,3,2
567,3,1,3,3,3,3
568,3,3,2,3,3,1
569,3,1,3,3,3,3
570,2,2,1,1,2,2
571,2,2,0,2,2,2
572,1,1,2,1,3,1
573,0,0,0,0,1,2
574,0,0,0,0,0,0
575,1,1,3,1,1,0
576,3,3,3,3,3,2
577,0,0,2,0,0,1
578,0,0,2,2,3,0
579,1,2,1,1,1,1
580,1,1,1,1,2,1
581,3,3,3,3,3,3
582,3,3,3,3,3,3
583,3,3,3,3,3,3
584,0,0,0,0,0,0
585,2,2,2,0,3,1
586,0,0,0,0,0,3
587,2,2,3,2,2,2
588,2,2,2,2,3,2
589,2,0,2,2,2,2
590,1,2,1,1,0,1
591,2,2,2,1,2,2
592,3,3,3,3,3,3
593,1,1,1,1,0,0
594,2,2,2,2,2,2
595,0,0,0,2,0,0
596,3,3,0,3,3,3
597,1,1,1,1,1,1
598,1,1,3,1,3,1
599,3,3,3,3,3,3
600,0,0,2,0,0,3
601,3,3,3,3,3,3
602,3,3,3,3,3,3
603,2,0,2,2,2,2
604,3,3,3,3,3,0
605,3,3,2,3,3,3
606,1,0,1,0,1,1
607,2,2,2,2,3,1
608,0,2,0,0,0,0
609,3,3,3,3,0,3
610,2,2,2,2,2,2
611,2,2,2,2,2,3
612,2,2,2,2,2,2
613,3,3,3,3,3,3
614,2,3,2,2,3,2
615,2,2,2,2,2,2
616,1,1,1,1,3,1
617,1,1,1,1,1,0
618,2,0,2,2,2,2
619,1,1,1,2,1,1
620,3,1,3,3,3,3
621,2,3,2,2,2,2
622,3,1,3,3,3,1
623,0,3,0,3,0,0
624,0,0,0,0,0,0
625,0,0,0,0,0,0
626,3,3,3,3,3,3
627,2,1,3,2,3,2
628,2,2,3,2,2,0
629,3,3,3,3,3,2
630,3,3,2,3,2,3
631,0,0,0,0,0,0
632,2,2,1,2,2,3
633,2,2,3,2,2,2
634,1,1,2,3,1,2
635,2,2,2,2,2,2
636,1,1,0,1,1,1
637,0,0,0,0,3,3
638,1,1,1,1,1,1
639,0,0,0,0,0,3
640,2,2,0,2,0,2
641,3,3,3,3,3,3
642,3,3,3,2,3,3
643,0,0,2,0,0,0
644,3,3,3,3,1,1
645,3,3,1,3,3,3
646,1,2,1,0,1,3
647,3,2,3,3,3,3
648,3,1,3,0,3,1
649,3,1,3,1,3,3
650,0,0,0,0,3,0
651,1,1,1,1,0,1
652,2,2,2,1,2,2
653,3,2,3,3,3,3
654,2,2,2,1,1,2
655,1,1,1,1,1,1
656,2,2,0,2,2,2
657,3,0,3,3,3,3
658,2,0,0,2,2,2
659,1,1,1,1,1,1
660,0,1,0,2,0,0
661,2,2,2,2,2,2
662,3,1,1,3,3,3
663,0,0,0,0,0,0
664,1,0,1,1,1,1
665,2,3,2,2,2,2
666,3,3,3,3,3,0
667,3,3,3,3,3,2
668,1,1,1,1,1,1
669,1,1,1,1,1,2
670,3,3,0,0,2,3
671,1,1,1,1,1,1
672,0,0,0,0,0,2
673,3,3,3,3,2,3
674,0,0,0,0,0,0
675,0,0,0,0,0,1
676,0,0,0,0,0,0
677,2,2,0,2,0,2
678,0,0,3,0,0,1
679,2,2,2,2,2,2
680,1,1,1,1,1,1
681,0,0,3,0,0,0
682,0,0,0,0,0,2
683,2,2,2,2,2,3
684,0,1,0,0,0,0
685,0,0,0,0,0,0
686,1,1,2,1,1,1
687,2,2,2,2,2,2
688,3,0,2,0,3,3
689,2,2,3,2,2,3
690,2,2,2,2,2,2
691,2,1,2,2,2,2
692,0,0,0,3,0,0
693,2,3,2,2,2,2
694,0,0,0,0,0,0
695,1,1,1,1,1,1
696,1,1,1,1,3,1
697,1,1,1,1,1,2
698,3,3,3,3,3,3
699,3,0,3,0,3,0
700,0,0,0,0,3,0
701,3,3,3,3,3,3
702,3,3,3,3,3,3
703,0,0,0,0,0,0
704,2,2,2,2,0,2
705,3,3,3,3,3,3
706,0,0,0,0,0,0
707,3,3,3,3,3,3
708,2,2,2,2,2,2
709,0,1,0,0,0,0
710,1,0,1,1,1,1
711,2,2,2,2,2,3
712,1,1,0,3,1,1
713,3,2,3,3,3,3
714,1,1,1,1,1,1
715,0,0,0,0,0,0
716,1,1,1,1,1,1
717,3,1,3,3,3,3
718,0,0,0,0,1,0
719,2,2,0,2,2,2
720,0,0,2,0,0,0
721,1,1,1,1,1,1
722,2,2,1,3,0,2
723,0,1,0,0,0,0
724,1,1,1,1,1,1
725,1,1,1,1,1,1
726,2,2,2,2,2,2
727,1,1,1,1,1,1
728,3,3,3,3,3,2
729,2,2,0,2,3,2
730,0,0,0,0,0,0
731,3,0,3,3,3,3
732,0,0,0,0,3,0
733,3,2,0,3,0,3
734,1,3,1,1,1,1
735,3,3,3,0,3,3
736,0,2,1,0,0,0
737,3,3,3,3,2,3
738,0,0,0,0,3,1
739,2,2,2,2,0,2
740,3,3,3,0,3,3
741,1,0,1,1,1,1
742,1,0,0,0,2,2
743,0,1,0,1,0,0
744,0,0,0,0,0,0
745,2,2,2,2,2,2
746,0,0,3,0,0,0
747,0,0,3,0,0,0
748,0,0,0,0,0,2
749,3,3,3,1,3,3
750,3,3,1,3,3,3
751,0,0,0,0,0,0
752,1,1,0,1,1,3
753,0,0,0,0,1,0
754,1,1,1,1,1,1
755,0,1,0,0,0,3
756,2,2,2,2,2,2
757,2,2,2,3,2,2
758,2,2,2,2,1,2
759,3,3,3,3,1,3
760,3,3,3,3,3,3
761,2,2,2,2,2,2
762,1,2,0,1,1,1
763,1,1,1,1,1,1
764,1,1,1,1,0,1
765,2,0,3,2,2,2
766,2,2,2,1,2,2
767,1,1,1,1,1,0
768,3,0,0,3,3,2
769,2,2,2,0,1,1
770,2,2,2,2,2,2
771,0,0,0,0,0,0
772,3,3,3,3,3,3
773,2,0,2,2,2,2
774,3,3,3,3,3,3
775,2,3,2,2,2,2
776,2,2,2,1,2,2
777,1,0,1,1,1,1
778,2,2,0,2,2,2
779,3,3,3,3,3,3
780,0,0,0,0,0,0
781,3,3,3,3,3,2
782,0,0,1,0,0,0
783,0,0,0,0,0,0
784,0,0,0,2,0,0
785,0,1,0,2,0,0
786,0,3,0,2,0,0
787,3,3,2,0,3,3
788,3,3,3,3,3,3
789,2,2,2,3,1,2
790,3,3,3,3,3,3
791,3,2,0,3,3,3
792,1,1,1,1,1,1
793,1,1,0,1,3,1
794,0,0,0,0,0,0
795,0,0,2,3,3,0
796,2,2,1,2,3,2
797,2,2,2,2,2,2
798,1,1,0,1,1,1
799,3,3,0,3,3,0
800,1,1,0,0,1,1
801,0,0,0,1,0,1
802,3,3,2,3,3,3
803,2,2,2,2,2,2
804,0,0,0,0,2,0
805,2,2,2,2,2,2
806,2,3,2,1,2,2
807,0,0,0,0,0,0
808,0,2,1,2,3,0
809,0,1,0,0,0,0
810,3,1,0,3,3,3
811,1,1,3,1,0,1
812,3,2,0,3,3,3
813,1,1,1,1,3,1
814,1,1,1,1,1,1
815,0,0,0,0,1,0
816,1,1,3,1,1,0
817,2,2,2,2,3,2
818,2,2,0,2,2,3
819,0,0,0,0,0,0
820,3,3,2,3,3,3
821,1,2,1,0,0,1
822,3,1,3,3,3,1
823,0,1,0,0,0,0
824,1,1,1,1,1,0
825,3,3,3,3,3,3
826,1,1,3,1,1,1
827,1,1,1,1,2,1
828,0,0,0,0,0,0
829,3,3,3,3,3,3
830,0,0,0,0,2,0
831,3,3,3,3,0,3
832,0,1,3,0,0,0
833,1,1,1,1,1,1
834,2,2,2,2,2,2
835,2,2,2,2,2,1
836,0,0,1,3,0,3
837,0,0,0,0,0,0
838,2,2,2,2,1,2
839,2,2,2,2,2,2
840,1,1,2,1,1,1
841,3,3,3,1,3,0
842,3,3,3,3,3,3
843,0,0,3,0,0,0
844,1,1,1,1,1,1
845,3,3,3,3,3,3
846,0,0,0,1,0,0
847,1,1,0,1,1,1
848,1,1,1,1,1,1
849,0,1,0,0,0,0
850,1,1,1,1,3,2
851,2,2,0,2,2,2
852,1,1,1,1,2,3
853,2,2,2,2,2,2
854,1,1,1,1,1,3
855,2,2,2,2,2,2
856,1,2,2,1,1,1
857,3,3,3,3,3,3
858,0,0,0,0,0,0
859,3,3,3,3,3,3
860,0,2,1,0,0,3
861,0,0,0,2,0,0
862,3,3,3,3,3,3
863,2,2,2,2,2,2
864,2,2,2,2,2,0
865,2,2,2,1,2,2
866,0,2,0,0,0,0
867,2,2,2,2,2,2
868,2,2,2,2,2,3
869,1,1,0,3,1,1
870,1,1,1,1,1,1
871,0,0,0,0,0,0
872,0,0,0,0,0,0
873,1,1,1,1,1,1
874,0,0,0,0,0,0
875,2,2,2,2,2,2
876,0,0,0,3,0,0
877,1,2,1,1,2,1
878,2,1,2,2,2,0
879,3,3,3,3,3,3
880,3,2,3,3,3,3
881,2,2,2,2,2,2
882,0,0,0,0,0,0
883,0,0,0,0,0,0
884,2,2,2,2,2,1
885,2,2,2,2,2,1
886,3,3,3,3,1,3
887,2,2,2,2,2,2
888,0,0,0,1,0,0
889,0,0,0,0,0,0
890,0,0,0,1,0,2
891,2,2,0,2,1,2
892,2,2,2,2,2,3
893,1,1,1,1,3,0
894,3,3,3,3,3,3
895,0,0,0,0,0,0
896,2,2,2,0,2,2
897,0,0,0,2,0,0
898,3,3,3,3,3,3
899,2,2,2,0,1,2
900,0,2,0,0,0,0
901,3,1,3,3,3,1
902,2,2,2,2,2,2
903,2,2,2,2,2,2
904,3,3,3,3,3,1
905,1,0,1,1,1,0
906,1,1,1,1,1,1
907,3,3,3,3,3,3
908,2,2,2,0,2,2
909,1,1,0,1,1,1
910,0,0,0,0,3,0
911,2,2,2,2,2,2
912,2,0,3,2,2,3
913,2,2,2,2,2,2
914,3,2,3,2,3,3
915,1,1,1,1,1,1
916,1,1,2,1,0,2
917,1,1,2,1,1,0
918,0,0,0,0,0,0
919,2,2,2,2,3,3
920,3,2,3,3,3,2
921,3,0,3,3,3,2
922,1,1,1,1,1,1
923,2,2,2,2,2,2
924,2,3,2,2,2,2
925,3,3,3,3,3,3
926,0,0,2,0,0,0
927,1,1,1,1,0,0
928,1,1,1,1,1,1
929,3,3,3,3,3,3
930,3,3,3,1,3,1
931,2,2,2,2,2,2
932,1,1,1,1,1,1
933,1,1,1,1,1,0
934,0,0,0,0,1,0
935,3,3,3,2,3,3
936,3,3,3,0,3,3
937,2,2,2,2,2,2
938,0,2,3,0,0,0
939,1,1,1,1,2,1
940,3,3,0,3,3,3
941,3,3,3,3,3,3
942,3,3,3,3,0,1
943,1,2,3,0,1,1
944,0,0,0,1,0,0
945,2,2,2,2,2,0
946,2,2,2,2,0,2
947,3,3,3,1,1,3
948,3,2,3,2,3,3
949,2,2,2,2,2,2
950,2,0,2,2,2,1
951,1,1,1,1,1,1
952,3,3,3,3,2,3
953,0,3,0,0,0,0
954,0,3,0,0,0,3
955,2,2,2,2,2,2
956,2,2,1,2,2,2
957,0,3,0,0,0,0
958,1,0,1,1,2,1
959,0,0,3,2,0,0
960,2,0,2,2,2,2
961,2,2,2,2,2,2
962,0,2,0,0,2,0
963,1,1,1,2,1,1
964,3,3,3,2,3,3
965,1,1,1,1,1,1
966,2,0,2,2,0,1
967,1,1,2,1,1,2
968,1,1,1,1,1,1
969,3,3,3,3,3,3
970,0,0,0,0,0,0
971,3,3,3,3,3,1
972,1,0,1,1,1,1
973,2,2,2,2,0,2
974,2,2,2,3,2,2
975,1,2,1,1,1,1
976,1,2,1,1,1,1
977,3,3,3,3,3,3
978,0,0,1,0,0,0
979,1,0,1,1,1,1
980,0,0,3,1,0,0
981,0,0,0,0,2,0
982,1,1,1,3,1,1
983,2,1,2,2,2,2
984,0,3,0,0,0,0
985,0,0,0,0,0,0
986,2,2,2,2,0,2
987,2,2,1,2,2,1
988,3,3,0,3,3,3
989,2,2,2,1,2,2
990,2,2,2,2,2,2
991,2,2,3,2,2,2
992,3,3,3,3,3,3
993,0,3,2,0,2,0
994,1,1,1,1,0,1
995,3,3,3,3,3,3
