case_id,alg_01,alg_02,alg_03,alg_04,alg_05
case_111,0.741,0.7366,0.7662,0.759,0.7544
case_112,0.7966,0.7976,0.8028,0.8268,0.7844
case_113,0.7568,0.7547,0.8042,0.7739,0.7457
case_114,0.8149,0.7687,0.8018,0.7866,0.7641
case_115,0.7262,0.7471,0.78,0.7707,0.7839
case_116,0.7969,0.8076,0.7852,0.7605,0.7545
case_117,0.841,0.8724,0.8644,0.8575,0.848
case_118,0.8049,0.7834,0.7838,0.7729,0.821
case_119,0.8587,0.8588,0.8577,0.8759,0.8492
case_120,0.7435,0.7289,0.7695,0.771,0.722
case_121,0.7273,0.7475,0.7865,0.725,0.7447
case_122,0.7685,0.7448,0.772,0.7717,0.7476
case_123,0.8208,0.8098,0.8411,0.8411,0.8397
case_124,0.7837,0.7979,0.8234,0.7837,0.8025
case_125,0.7833,0.803,0.7971,0.7833,0.7933
case_126,0.8041,0.792,0.7858,0.7783,0.7929
case_127,0.8014,0.8441,0.8151,0.7991,0.7968
case_128,0.7895,0.8003,0.8467,0.8216,0.8379
case_129,0.7646,0.7567,0.8242,0.8008,0.7583
case_130,0.7576,0.7391,0.7737,0.7562,0.7542
case_131,0.7519,0.7767,0.8015,0.7892,0.785
case_132,0.6492,0.6328,0.6969,0.6219,0.6468
case_133,0.7443,0.7545,0.8082,0.7439,0.7351
case_134,0.7843,0.8088,0.83,0.8186,0.8301
case_135,0.7786,0.7786,0.7705,0.7532,0.7452
case_136,0.8168,0.8065,0.8015,0.7897,0.8035
case_137,0.8151,0.7682,0.8283,0.7789,0.7855
case_138,0.8317,0.8344,0.8466,0.8479,0.8565
case_139,0.8026,0.7983,0.8258,0.7987,0.7644
case_140,0.8129,0.7906,0.7897,0.7743,0.7732
case_141,0.7858,0.7612,0.7822,0.7547,0.77
case_142,0.7083,0.7098,0.7275,0.715,0.6905
case_143,0.7953,0.7874,0.8603,0.8449,0.8244
case_144,0.8265,0.8558,0.822,0.8503,0.8571
case_145,0.7481,0.7367,0.7826,0.7725,0.7394
case_146,0.7835,0.786,0.8123,0.8129,0.8126
case_147,0.8772,0.8529,0.8675,0.8626,0.9315
case_148,0.7163,0.6945,0.7597,0.7009,0.7312
case_149,0.7019,0.677,0.7223,0.7112,0.6858
case_150,0.7013,0.7336,0.7241,0.773,0.7376
case_151,0.8667,0.8994,0.9057,0.8642,0.8828
case_152,0.7181,0.7165,0.7919,0.7515,0.7387
case_153,0.8779,0.8459,0.9111,0.8914,0.8751
case_154,0.8715,0.8802,0.8572,0.8884,0.8687
case_155,0.8017,0.7947,0.7916,0.7673,0.773
case_156,0.7804,0.7679,0.7591,0.7657,0.7815
case_157,0.7936,0.8279,0.8604,0.8408,0.8143
case_158,0.8673,0.8512,0.866,0.8505,0.889
case_159,0.7172,0.7763,0.7426,0.7401,0.7447
case_160,0.8212,0.8304,0.8156,0.8467,0.7997
case_161,0.8915,0.8759,0.9372,0.9193,0.8947
case_162,0.7908,0.7307,0.7841,0.772,0.7345
case_163,0.7732,0.8033,0.8189,0.7961,0.8147
case_164,0.6859,0.6784,0.6874,0.7345,0.6969
case_165,0.6465,0.6556,0.6835,0.6841,0.6738
case_166,0.8034,0.8274,0.8306,0.8056,0.8191
case_167,0.7999,0.7948,0.7627,0.8068,0.7747
case_168,0.7607,0.794,0.8398,0.8149,0.7825
case_169,0.8109,0.7826,0.8169,0.8,0.7734
case_170,0.7566,0.7643,0.7429,0.7617,0.7938
case_171,0.7386,0.7228,0.7896,0.749,0.7351
case_172,0.768,0.7898,0.7675,0.7541,0.7583
case_173,0.7279,0.7622,0.7512,0.7182,0.7528
case_174,0.7903,0.829,0.8626,0.8154,0.8195
case_175,0.7661,0.7249,0.7662,0.7219,0.7303
case_176,0.7464,0.7847,0.7801,0.7856,0.7896
case_177,0.8286,0.8064,0.8643,0.8549,0.8249
case_178,0.8618,0.8343,0.8658,0.8489,0.8623
case_179,0.7724,0.7676,0.7678,0.7552,0.7754
case_180,0.8349,0.8318,0.8794,0.8341,0.8475
case_181,0.7491,0.7526,0.8012,0.752,0.7676
case_182,0.789,0.7347,0.8026,0.7485,0.7463
case_183,0.9159,0.9047,0.8903,0.8721,0.884
case_184,0.8711,0.9064,0.8971,0.8597,0.8756
case_185,0.7348,0.7691,0.7635,0.748,0.7246
case_186,0.7134,0.7222,0.738,0.688,0.7173
case_187,0.8316,0.801,0.8665,0.8122,0.8012
case_188,0.7463,0.7732,0.8232,0.7757,0.7748
case_189,0.7559,0.7879,0.8135,0.8044,0.7889
case_190,0.7879,0.7558,0.7885,0.8182,0.7683
case_191,0.7424,0.7489,0.7907,0.6995,0.744
case_192,0.8102,0.7444,0.8166,0.7876,0.7698
case_193,0.802,0.8411,0.8362,0.847,0.8135
case_194,0.8066,0.8413,0.8208,0.8065,0.8093
case_195,0.8128,0.7934,0.8019,0.814,0.8137
case_196,0.8129,0.7805,0.8171,0.8266,0.7597
case_197,0.8362,0.8569,0.8762,0.8325,0.837
case_198,0.8136,0.8208,0.8379,0.8116,0.8314
case_199,0.8583,0.8653,0.8835,0.839,0.8298
case_200,0.7727,0.8068,0.8165,0.7832,0.7419
case_201,0.7835,0.8091,0.8113,0.8011,0.7876
case_202,0.7727,0.7984,0.8508,0.7955,0.8067
case_203,0.8042,0.8498,0.8271,0.8295,0.8054
case_204,0.8273,0.7895,0.8126,0.803,0.8139
case_205,0.7666,0.8138,0.8124,0.7789,0.7932
case_206,0.7297,0.7367,0.7605,0.6812,0.7209
case_207,0.8397,0.8739,0.8965,0.8513,0.8393
case_208,0.7348,0.7168,0.7384,0.7326,0.7739
case_209,0.8677,0.8659,0.8693,0.8443,0.8416
case_210,0.7408,0.7733,0.7782,0.7472,0.7664
case_211,0.7894,0.7193,0.7842,0.7589,0.7563
case_212,0.8979,0.8848,0.8692,0.9284,0.8737
case_213,0.7598,0.7816,0.794,0.7868,0.7552
case_214,0.9119,0.9047,0.9472,0.9384,0.9153
case_215,0.8563,0.8118,0.8593,0.8218,0.8421
case_216,0.7526,0.7334,0.7808,0.7345,0.7499
case_217,0.8598,0.8379,0.8155,0.8115,0.7992
case_218,0.7503,0.7364,0.7688,0.7503,0.7416
case_219,0.9192,0.9106,0.9394,0.941,0.9531
case_220,0.8373,0.7948,0.8386,0.8037,0.7841
case_221,0.7632,0.7648,0.7713,0.7158,0.7161
case_222,0.8829,0.9069,0.9154,0.9035,0.87
case_223,0.8569,0.8305,0.8745,0.8505,0.8296
case_224,0.8595,0.8956,0.8801,0.894,0.8842
case_225,0.7364,0.7701,0.7684,0.7517,0.7724
case_226,0.9348,0.9541,0.978,0.9848,0.9311
case_227,0.8742,0.8601,0.9135,0.8777,0.8884
case_228,0.8016,0.8088,0.8097,0.8002,0.7948
case_229,0.7023,0.739,0.7664,0.7151,0.7181
case_230,0.7723,0.7833,0.7865,0.7669,0.7874
case_231,0.7925,0.8419,0.8597,0.8176,0.834
case_232,0.7469,0.7783,0.7622,0.753,0.7831
case_233,0.7945,0.8085,0.795,0.7668,0.8052
case_234,0.7955,0.8024,0.8167,0.8084,0.8118
case_235,0.818,0.7989,0.8006,0.7945,0.8047
case_236,0.8197,0.7798,0.8232,0.8325,0.7979
case_237,0.681,0.6921,0.7094,0.7228,0.7071
case_238,0.8588,0.8572,0.8562,0.8719,0.8403
case_239,0.7392,0.743,0.7449,0.7269,0.7069
case_240,0.7366,0.7523,0.7634,0.7374,0.7334
case_241,0.8019,0.8035,0.8283,0.7925,0.8073
case_242,0.8122,0.7768,0.8383,0.7731,0.8007
case_243,0.8126,0.8228,0.8593,0.8171,0.8419
case_244,0.7248,0.7601,0.781,0.7538,0.796
case_245,0.8053,0.7928,0.8208,0.8136,0.803
case_246,0.7566,0.7496,0.7582,0.7299,0.7547
case_247,0.8593,0.8562,0.8837,0.8437,0.8139
case_248,0.7802,0.7874,0.8044,0.8172,0.795
case_249,0.8739,0.8333,0.8474,0.8449,0.8798
case_250,0.766,0.7667,0.7831,0.7233,0.7503
case_251,0.9019,0.9298,0.9285,0.8918,0.922
case_252,0.7541,0.745,0.7806,0.7569,0.7809
case_253,0.7879,0.8042,0.8046,0.8227,0.8296
case_254,0.8166,0.8219,0.8435,0.8081,0.7924
case_255,0.8461,0.8284,0.8841,0.8797,0.8456
case_256,0.8387,0.8384,0.855,0.8271,0.8426
case_257,0.7911,0.8379,0.868,0.8232,0.8336
case_258,0.8426,0.9009,0.897,0.893,0.8348
case_259,0.9013,0.8721,0.8937,0.8603,0.867
case_260,0.8533,0.8774,0.9175,0.9341,0.8822
case_261,0.7594,0.7814,0.7993,0.7506,0.7786
case_262,0.7025,0.685,0.7194,0.6925,0.7096
case_263,0.7925,0.8265,0.852,0.804,0.7971
case_264,0.7328,0.7145,0.7426,0.7603,0.7673
case_265,0.9157,0.9053,0.9394,0.9212,0.9252
case_266,0.8799,0.8985,0.9213,0.8652,0.8701
case_267,0.7673,0.7348,0.785,0.7729,0.7647
case_268,0.9391,0.9652,0.9954,0.9454,0.9253
case_269,0.8713,0.8789,0.8898,0.8873,0.876
case_270,0.7751,0.7854,0.792,0.7985,0.8065
case_271,0.7577,0.7854,0.7922,0.761,0.7582
case_272,0.8114,0.8188,0.8176,0.8069,0.7952
case_273,0.7449,0.7416,0.7617,0.7289,0.7357
case_274,0.8227,0.8039,0.8453,0.8383,0.8224
case_275,0.7638,0.7698,0.7701,0.8015,0.7474
case_276,0.7979,0.8061,0.7991,0.8235,0.7894
case_277,0.8294,0.8162,0.8365,0.7955,0.815
case_278,0.8841,0.8498,0.8835,0.8657,0.8413
case_279,0.7585,0.7523,0.7753,0.7647,0.7846
case_280,0.8108,0.7732,0.7339,0.7915,0.7621
case_281,0.7982,0.7882,0.7978,0.7783,0.7804
case_282,0.8217,0.8367,0.8592,0.8122,0.8693
case_283,0.8233,0.8324,0.8427,0.8064,0.8602
case_284,0.7892,0.7687,0.8455,0.7963,0.7732
case_285,0.8354,0.8128,0.8508,0.8098,0.8572
case_286,0.7637,0.7538,0.7932,0.7987,0.7695
case_287,0.8528,0.8485,0.8596,0.836,0.8338
case_288,0.7416,0.7745,0.794,0.6905,0.7122
case_289,0.726,0.7677,0.8045,0.7743,0.7582
case_290,0.7473,0.7455,0.7699,0.736,0.7884
case_291,0.8119,0.7954,0.8112,0.8121,0.819
case_292,0.7606,0.7993,0.8325,0.8161,0.8115
case_293,0.8364,0.8536,0.873,0.8289,0.8676
case_294,0.8358,0.8461,0.8492,0.8495,0.8537
case_295,0.8212,0.7955,0.8601,0.7867,0.8037
case_296,0.7529,0.7727,0.7762,0.7844,0.7307
case_297,0.8072,0.7994,0.8601,0.7952,0.8195
case_298,0.8373,0.8205,0.8297,0.8221,0.8179
case_299,0.8226,0.7996,0.8084,0.7943,0.7834
case_300,0.8217,0.8447,0.866,0.8198,0.8794
case_301,0.8262,0.8175,0.853,0.862,0.8367
case_302,0.7518,0.7364,0.8138,0.7441,0.7752
case_303,0.7601,0.7016,0.7446,0.7043,0.7068
case_304,0.821,0.8074,0.8297,0.778,0.8223
case_305,0.7308,0.7117,0.7202,0.6962,0.6966
case_306,0.8327,0.8987,0.8732,0.8575,0.8827
case_307,0.8393,0.8343,0.8691,0.8217,0.8529
case_308,0.9249,0.939,0.9521,0.946,0.9188
case_309,0.7963,0.8017,0.8295,0.8211,0.813
case_310,0.7623,0.7433,0.7818,0.758,0.7844
case_311,0.9019,0.8538,0.8838,0.8831,0.9101
case_312,0.7894,0.7956,0.8201,0.7884,0.7946
case_313,0.7164,0.708,0.702,0.7117,0.7204
case_314,0.7243,0.7166,0.7055,0.6926,0.7088
case_315,0.7348,0.741,0.7746,0.7663,0.7732
case_316,0.7388,0.7691,0.7856,0.7683,0.7702
case_317,0.829,0.8512,0.8149,0.8387,0.8323
case_318,0.7192,0.736,0.6816,0.6968,0.7047
case_319,0.8169,0.8131,0.8328,0.7757,0.7864
case_320,0.8825,0.8814,0.9148,0.8831,0.8747
case_321,0.7446,0.7481,0.7925,0.7212,0.7412
case_322,0.7443,0.7347,0.7414,0.7139,0.7469
case_323,0.822,0.8111,0.8384,0.8082,0.8327
case_324,0.7549,0.7876,0.841,0.8077,0.8063
case_325,0.8144,0.8124,0.8084,0.8116,0.8526
case_326,0.8443,0.849,0.8942,0.8441,0.879
case_327,0.73,0.7374,0.7578,0.7112,0.7555
case_328,0.8916,0.8654,0.8825,0.8804,0.8957
case_329,0.787,0.7959,0.7945,0.8327,0.7984
case_330,0.7278,0.7488,0.7696,0.7237,0.7638
case_331,0.8114,0.8647,0.8602,0.7905,0.8137
case_332,0.7097,0.7036,0.7375,0.7271,0.6809
case_333,0.7456,0.7396,0.755,0.7547,0.7085
case_334,0.7945,0.7816,0.7879,0.8246,0.7742
case_335,0.8343,0.8271,0.8621,0.8152,0.8325
case_336,0.787,0.7602,0.8078,0.7499,0.7596
case_337,0.7461,0.7802,0.8063,0.7574,0.8075
case_338,0.7403,0.7062,0.7508,0.712,0.7156
case_339,0.7878,0.7971,0.7835,0.8086,0.8006
case_340,0.7918,0.8059,0.8154,0.7925,0.7805
case_341,0.8486,0.8194,0.8354,0.7979,0.8359
case_342,0.8023,0.7519,0.7734,0.7714,0.7498
case_343,0.8199,0.7815,0.838,0.7436,0.8015
case_344,0.8233,0.7869,0.8319,0.7889,0.7921
case_345,0.8882,0.8611,0.8838,0.9182,0.8505
case_346,0.7613,0.7456,0.7666,0.7349,0.7798
case_347,0.7174,0.738,0.7386,0.7418,0.7599
case_348,0.8588,0.8385,0.8956,0.8612,0.9242
case_349,0.8269,0.7872,0.825,0.8036,0.803
case_350,0.8803,0.8927,0.9256,0.8779,0.897
case_351,0.8199,0.8408,0.8389,0.8272,0.8519
case_352,0.72,0.7079,0.7047,0.6645,0.7073
case_353,0.7818,0.781,0.8057,0.7698,0.778
case_354,0.7933,0.8221,0.8489,0.8638,0.8287
case_355,0.8089,0.824,0.8333,0.8222,0.834
case_356,0.6844,0.7293,0.7271,0.6794,0.7265
case_357,0.8221,0.7977,0.8611,0.8255,0.8077
case_358,0.8163,0.8021,0.8059,0.7951,0.7893
case_359,0.7145,0.7207,0.7427,0.7364,0.745
case_360,0.7199,0.7335,0.746,0.6761,0.7217
case_361,0.8864,0.8905,0.9012,0.8949,0.8658
case_362,0.8864,0.8873,0.9054,0.8491,0.8582
case_363,0.8197,0.8309,0.8349,0.8267,0.8349
case_364,0.8224,0.8054,0.8658,0.8127,0.7958
case_365,0.8321,0.836,0.8779,0.8509,0.8308
case_366,0.8601,0.8706,0.8879,0.8797,0.8771
case_367,0.7464,0.7394,0.7364,0.7471,0.7756
case_368,0.726,0.7081,0.7644,0.7324,0.754
case_369,0.7688,0.7766,0.7662,0.7717,0.8178
case_370,0.7603,0.7704,0.8059,0.7643,0.7613
case_371,0.84,0.8241,0.8569,0.8407,0.8674
case_372,0.8933,0.8762,0.9443,0.8602,0.8773
case_373,0.7445,0.773,0.7802,0.7571,0.7847
case_374,0.8696,0.9035,0.8839,0.8616,0.8353
case_375,0.8432,0.8393,0.8773,0.8767,0.8549
case_376,0.8339,0.8052,0.8314,0.8302,0.8131
case_377,0.7727,0.7804,0.8181,0.786,0.7941
case_378,0.8836,0.8551,0.8797,0.8763,0.8871
case_379,0.8064,0.8016,0.8111,0.7872,0.8278
case_380,0.7409,0.7273,0.7538,0.7529,0.75
case_381,0.7386,0.745,0.7779,0.7431,0.7474
case_382,0.7402,0.7655,0.7315,0.7877,0.7066
case_383,0.7468,0.7624,0.7856,0.7631,0.7513
case_384,0.8593,0.8346,0.8794,0.8143,0.9083
case_385,0.7981,0.8051,0.7827,0.762,0.7836
case_386,0.7899,0.8129,0.8433,0.8355,0.8273
case_387,0.7522,0.7762,0.8127,0.7757,0.7914
case_388,0.7957,0.7608,0.831,0.7554,0.7368
case_389,0.775,0.7591,0.8203,0.7611,0.8024
case_390,0.7182,0.7533,0.7851,0.7557,0.7638
case_391,0.8066,0.8055,0.8212,0.8212,0.834
case_392,0.8631,0.8858,0.9235,0.9012,0.8866
case_393,0.8349,0.8668,0.9127,0.8584,0.8573
case_394,0.7614,0.7466,0.7587,0.7528,0.7493
case_395,0.8806,0.8907,0.8952,0.9326,0.9148
case_396,0.8582,0.884,0.8867,0.8716,0.8612
case_397,0.8435,0.8345,0.8202,0.8324,0.8303
case_398,0.7656,0.7815,0.7712,0.7388,0.7485
case_399,0.8141,0.8194,0.8648,0.8131,0.8328
case_400,0.8881,0.8602,0.8845,0.9055,0.8766
case_401,0.8626,0.8748,0.8761,0.832,0.8568
case_402,0.8853,0.8797,0.8902,0.8695,0.881
case_403,0.7802,0.7593,0.7951,0.7562,0.7562
case_404,0.8173,0.805,0.8242,0.838,0.8275
case_405,0.7183,0.7566,0.7727,0.7375,0.7182
case_406,0.7743,0.7887,0.8615,0.831,0.813
case_407,0.763,0.7607,0.8196,0.7783,0.7611
case_408,0.7872,0.8072,0.8247,0.8091,0.852
case_409,0.7922,0.7698,0.8243,0.7626,0.8211
case_410,0.8543,0.8522,0.8615,0.827,0.821
case_411,0.7707,0.7811,0.747,0.7658,0.743
case_412,0.7544,0.7382,0.7311,0.7068,0.7427
case_413,0.7692,0.7903,0.8341,0.7643,0.7661
case_414,0.8559,0.8283,0.8717,0.8585,0.827
case_415,0.8073,0.7739,0.7941,0.7896,0.7451
case_416,0.8249,0.8488,0.8323,0.8067,0.8401
case_417,0.8175,0.7912,0.7842,0.8032,0.8053
case_418,0.7825,0.754,0.8031,0.7714,0.8374
case_419,0.823,0.8466,0.8378,0.8226,0.8223
case_420,0.8483,0.8497,0.8615,0.8736,0.8749
case_421,0.6904,0.6747,0.6715,0.6805,0.6982
case_422,0.7868,0.8264,0.807,0.8222,0.7645
case_423,0.8176,0.8205,0.8205,0.8104,0.8043
case_424,0.8,0.801,0.8633,0.826,0.8225
case_425,0.9056,0.9172,0.9167,0.9258,0.8928
case_426,0.7647,0.7939,0.7673,0.7648,0.7858
case_427,0.7686,0.7598,0.7867,0.8211,0.7696
case_428,0.8268,0.8339,0.8471,0.8422,0.8213
case_429,0.8642,0.8753,0.8773,0.851,0.8449
case_430,0.8593,0.8276,0.8839,0.8236,0.8602
case_431,0.9047,0.8993,0.8859,0.8893,0.8934
case_432,0.843,0.8873,0.8847,0.8568,0.8545
case_433,0.7928,0.8205,0.8178,0.7915,0.786
case_434,0.7248,0.7764,0.7779,0.7489,0.773
case_435,0.7077,0.722,0.7518,0.6911,0.7187
case_436,0.7562,0.7152,0.7579,0.7555,0.7397
case_437,0.8283,0.8443,0.8742,0.8432,0.8601
case_438,0.7952,0.8064,0.7903,0.7921,0.7676
case_439,0.8221,0.8328,0.8537,0.8344,0.8267
case_440,0.7549,0.8009,0.7928,0.7554,0.7737
case_441,0.8166,0.7735,0.8382,0.8398,0.8226
case_442,0.6991,0.6975,0.7141,0.6793,0.6807
case_443,0.7849,0.7921,0.8135,0.7955,0.8106
case_444,0.7979,0.7949,0.8206,0.8092,0.7973
case_445,0.7775,0.7764,0.7936,0.7577,0.8057
case_446,0.8191,0.7627,0.7948,0.7845,0.7652
case_447,0.8968,0.9016,0.9301,0.8627,0.9245
case_448,0.77,0.771,0.8041,0.7606,0.786
case_449,0.8418,0.8893,0.8695,0.8418,0.8832
case_450,0.7551,0.7632,0.7696,0.7605,0.7616
case_451,0.7737,0.8002,0.8095,0.8127,0.803
case_452,0.8236,0.8316,0.8381,0.8633,0.8064
case_453,0.7069,0.6886,0.7169,0.696,0.6921
case_454,0.7499,0.7485,0.7614,0.7224,0.7353
case_455,0.7313,0.7396,0.7742,0.7338,0.7533
case_456,0.8382,0.8136,0.8401,0.8189,0.7981
case_457,0.8107,0.817,0.8315,0.8657,0.8492
case_458,0.7794,0.7922,0.785,0.777,0.7747
case_459,0.801,0.7677,0.8237,0.7607,0.7825
case_460,0.8618,0.8403,0.8329,0.7875,0.8321
case_461,0.8309,0.8277,0.8349,0.836,0.8076
case_462,0.8539,0.829,0.8364,0.8528,0.8246
case_463,0.8076,0.8295,0.8431,0.8597,0.8456
case_464,0.7941,0.7634,0.7831,0.7775,0.7759
case_465,0.7584,0.772,0.7959,0.7357,0.7593
case_466,0.7827,0.8181,0.8023,0.7948,0.8191
case_467,0.747,0.7357,0.761,0.7141,0.7195
case_468,0.8143,0.8158,0.8238,0.8041,0.807
case_469,0.7323,0.7884,0.756,0.7579,0.7593
case_470,0.7295,0.7037,0.7314,0.7508,0.7348
case_471,0.8826,0.848,0.916,0.8886,0.8888
case_472,0.8869,0.8569,0.8907,0.862,0.9054
case_473,0.85,0.8512,0.8657,0.8238,0.8559
case_474,0.817,0.8622,0.8791,0.8523,0.8685
case_475,0.7205,0.7237,0.7471,0.7447,0.7094
case_476,0.75,0.7781,0.7672,0.7549,0.732
case_477,0.7167,0.7442,0.7788,0.7253,0.767
case_478,0.8095,0.8613,0.8731,0.8267,0.8456
case_479,0.7303,0.7678,0.7553,0.7479,0.7121
case_480,0.7547,0.7772,0.8363,0.7868,0.7778
case_481,0.8249,0.7762,0.7979,0.7713,0.7801
case_482,0.7783,0.7559,0.7984,0.7696,0.7944
case_483,0.7213,0.722,0.7307,0.7099,0.7418
case_484,0.8633,0.9285,0.9134,0.8981,0.8701
case_485,0.7449,0.7555,0.8072,0.7437,0.7748
case_486,0.7938,0.7949,0.827,0.8169,0.7964
case_487,0.8543,0.8268,0.8973,0.845,0.8438
case_488,0.7171,0.707,0.7339,0.7005,0.7108
